avg_degree,max_degree,std_degree,median_degree,avg_strength,max_strength,total_strength,std_strength,median_strength,density,avg_edge_weight,std_edge_weight,median_edge_weight,max_edge_weight,clustering_coef,transitivity,std_clustering,max_clustering,avg_betweenness,std_betweenness,max_betweenness,avg_eigenvector,std_eigenvector,avg_closeness,std_closeness,global_efficiency,local_efficiency,degree_assortativity,num_communities,modularity,avg_community_size,std_community_size,spectral_gap,algebraic_connectivity,avg_eigenvalue,max_eigenvalue,spectral_radius,trace,rich_club_coef,max_rich_club,max_k_core,avg_k_core,avg_shortest_path,small_world_sigma,degree_skewness,degree_kurtosis,strength_skewness,strength_kurtosis,network_heterogeneity,strength_degree_correlation,avg_neighbor_degree,URSI
33.68571428571428,65,13.582071015173808,32.0,53169.4,239056.0,3721858.0,59313.324275265986,31607.5,0.48819875776397514,1578.396098388465,2799.108937568942,456.0,21926.0,0.029645751802499707,0.7015091236414553,0.016327575682863943,0.06513324932512672,0.04995617087414676,0.07469183449553927,0.42474120082815753,0.07097034811846681,0.0961713261510827,0.12398416086208007,0.03611700698825874,0.741407867494825,0.8819427152512249,-0.07781756327548928,5,0.24167300515932996,14.0,5.549774770204643,1733.6238359369245,1733.6238359369245,53939.97101449275,254409.7294061464,132848.1362853283,0.0,0.7802577539070532,1.0,25,21.857142857142858,9.07080745341615,0.0032682594085198936,0.31602993873967794,-0.15911729417310516,1.647286801701773,1.7146683602392567,0.40319973327487985,0.8641480784552235,39.07094954593937,M87121956
25.685714285714287,53,10.33654108648793,23.5,25464.585714285713,114638.0,1782521.0,23843.790805390498,18717.0,0.3722567287784679,991.3909899888765,1605.2085181973198,331.0,13656.0,0.030629707509107526,0.6390559925960203,0.01524444731578005,0.0637651341657979,0.04999898510128688,0.06661855224712224,0.23600454674623475,0.07747388420076813,0.0910137986931666,0.08610568413973464,0.024658855752457933,0.6776397515527971,0.8526200390841968,0.018406602590393163,4,0.38113401155700516,17.5,5.315072906367325,414.808897498562,414.808897498562,25833.63768115942,122526.17761182066,52568.09531685899,0.0,0.6972595079655991,1.0,19,16.857142857142858,12.939130434782609,0.002367215298082907,0.4776212203629199,-0.0714115970131104,1.5889532699833882,2.4212524611697406,0.4024237352915212,0.8549055685951347,29.484112890032463,M87165017
28.6,55,12.453800337934716,28.0,37048.21428571428,167346.5,2593375.0,36616.81402088111,25217.25,0.4144927536231884,1295.3921078921078,2061.940884248992,407.5,15915.5,0.03614294583842578,0.6825689738625363,0.016429060850942326,0.08680131594612041,0.06080562659846546,0.10985108922389346,0.5021312872975277,0.07374753105414472,0.09405857722255981,0.042601894351658565,0.012359717469532887,0.6969634230503821,0.8692380155823529,0.05848624861661219,4,0.32899218742017744,17.5,6.837397165588672,803.6709925106405,803.6709925106405,37585.14492753623,176612.24965231714,82107.70008843893,0.0,0.7361091690002272,1.0,22,18.7,34.81656314699793,0.0010380963131205046,0.031127055661820224,-0.6431694672917256,1.6664030670714938,2.1978770456317562,0.4354475642634516,0.8252896077651909,33.2550557256452,M87128444
27.114285714285714,62,11.628220422922919,25.5,33572.72857142857,154040.5,2350091.0,33280.822305977366,21569.0,0.3929606625258799,1238.1933614330874,1961.5504600551708,373.0,14126.0,0.037658867696882196,0.6462476706759275,0.01590178539039731,0.07563507147337302,0.055030852920878504,0.105835151191219,0.4771952259164534,0.07120968346731948,0.09599424600567709,0.09202655110170431,0.030407900966663307,0.6899240855762607,0.8611278796090513,-0.008914606775847265,6,0.34186481780578404,11.666666666666666,4.784233364802441,1192.5880360152046,1192.5880360152046,34059.28985507247,162906.1912907018,76932.08968125121,0.0,0.7350407667787452,1.0,18,16.514285714285716,12.763561076604555,0.0029504984910449813,0.49774374437981317,0.10108989971417115,1.5818682277614744,1.8147756912892339,0.42885955195184633,0.8656231580006649,31.76395025135684,M87144889
31.771428571428572,63,13.838013305561532,35.5,40907.114285714284,183128.0,2863498.0,39824.57658677001,29155.0,0.46045548654244306,1287.5440647482014,2156.235920158562,365.25,15924.5,0.03472239287424318,0.7270527859237537,0.016281711346551438,0.07170192950465727,0.053428327852880285,0.08802443506673994,0.5572605853935778,0.07270437264499666,0.09486721501136074,0.07701386344747814,0.025042995700092288,0.7261559696342319,0.888256176354495,0.0009673161973268849,5,0.33178213516389704,14.0,4.33589667773576,652.5974902449796,652.5974902449796,41499.97101449276,193654.29172184976,91111.62901450443,0.0,0.784200992566377,1.0,31,23.37142857142857,15.588612836438923,0.0022274203124140967,-0.08945852432286937,-0.6849520109517391,1.4567117183999767,1.6608290438465731,0.43554897994123526,0.8136170081187689,37.36164996667435,M87192333
26.714285714285715,56,10.345658657679774,24.5,35933.78571428572,163564.0,2515365.0,33586.945672024274,26074.0,0.38716356107660455,1345.114973262032,2108.113376942327,335.5,15919.0,0.03528227259665245,0.6316528122638454,0.01990882340879036,0.10548571940544672,0.054384362440628435,0.08709365253751762,0.3898479681727764,0.07183039851033171,0.09553066594325207,0.11832341321800975,0.03721291742751399,0.686266390614219,0.8516750917588247,-0.006560577592522666,5,0.3845558318267899,14.0,5.019960159204453,1082.7945952670852,1082.7945952670852,36454.565217391304,172433.1298171397,78352.31463990099,0.0,0.719037084274744,1.0,17,16.214285714285715,10.104761904761904,0.0034916480892068875,0.65983558374155,0.3655309520580188,1.565211534900875,2.1958836734891882,0.38727064493988456,0.8178543946829879,30.554185026020896,M87150639
31.82857142857143,61,13.581469969433067,32.0,39580.08571428571,185474.0,2770606.0,43285.03875878819,23284.0,0.46128364389233956,1243.5394973070017,2188.705705629399,296.0,16883.5,0.03013325204437104,0.687002132405206,0.015214843157024142,0.06796837639185417,0.049003876913084075,0.06371706897617219,0.2840769157904708,0.06938687619571327,0.09731996556470335,0.11383613984576073,0.03002099412053892,0.7269151138716369,0.8732004962225258,-0.050928376171928434,4,0.28965243119011214,17.5,7.297259759663212,1097.411319876094,1097.411319876094,40153.71014492753,196341.39635555726,99248.20811440205,0.0,0.7612536748556745,1.0,22,19.87142857142857,10.021325051759835,0.0030069129470138654,0.1755829427201595,-0.39927359333253865,1.7463528620946613,2.176424224004461,0.4267068661850605,0.8370465057278915,37.32310862986707,M87115498
25.428571428571427,54,10.944759252813231,24.0,29705.314285714285,131486.5,2079372.0,27412.9358008706,22640.5,0.36853002070393376,1168.1865168539325,1799.0457401977924,393.5,13198.0,0.03781216271442009,0.6267448137580011,0.016336165973687606,0.08113423818311206,0.05287317825680996,0.07124427318435748,0.35656436487638526,0.07726469659005593,0.0911914521573206,0.05076231185619215,0.013218612073504775,0.6758454106280218,0.8455131004910252,0.004268501466638698,4,0.38454507272852206,17.5,6.5,887.1192127109804,887.1192127109804,30135.82608695652,140607.0616538496,60397.3335537604,0.0,0.7155188355642346,1.0,19,16.242857142857144,22.06977225672878,0.0017133009926231415,0.3112187323687647,-0.2698945366983452,1.5971120071436837,2.5333569430222163,0.43041188072861025,0.8824434784549592,29.830976125976374,M87115517
30.37142857142857,59,12.788579088469556,29.0,41673.24285714285,188694.5,2917127.0,43438.10515128253,27952.0,0.4401656314699793,1372.1199435559736,2291.5916623802104,368.5,18322.0,0.03227903592264624,0.6818329453797434,0.01856509837192488,0.0828125453580589,0.048576503064994114,0.06547809322623972,0.3264776925262859,0.0707812814460344,0.09631056267394325,0.07974942855151253,0.023987026970410174,0.7163561076604568,0.8714459781295105,-0.027786922864712727,4,0.32046885465138947,17.5,5.024937810560445,760.8083801182257,760.8083801182257,42277.20289855073,200025.6018958887,99530.92850732568,0.0,0.7549746709164183,1.0,24,20.47142857142857,14.265010351966874,0.0022628119521971167,0.28259164395176345,-0.14055782788997773,1.7181914548617367,2.215309713389537,0.42107268870784054,0.8330794189825111,35.476800112551125,M87102217
30.314285714285713,63,13.138322198975088,29.0,35794.78571428572,165377.0,2505635.0,35593.36244156961,25403.5,0.43933747412008284,1180.7893496701224,1929.1109589793782,396.5,14608.0,0.03370100779426539,0.6735138918802498,0.014409498702602103,0.06417392635045632,0.049083061318172756,0.07073564447277299,0.31176634533412034,0.07575455133769099,0.09244978224603577,0.09600106846673714,0.028776754730297106,0.7165631469979308,0.8621156402661565,-0.014068062488277773,4,0.32809748756528057,17.5,5.678908345800274,1666.386804950959,1666.386804950959,36313.55072463768,174771.82739458903,78201.59824766795,0.0,0.7610473240552775,1.0,24,19.714285714285715,12.437267080745341,0.002709679512023935,0.3327289011974357,-0.5191048748996496,1.6843831890822027,2.3634718607654035,0.4334036540660962,0.8644590430924857,35.50687654271639,M87117167
